# time  created  delivered  delivered/created
67.0000 1 0 0.0000
135.0000 2 0 0.0000
186.0000 3 0 0.0000
236.0000 4 0 0.0000
287.0000 5 0 0.0000
338.0000 6 0 0.0000
381.0000 7 0 0.0000
422.0000 8 0 0.0000
469.0000 9 0 0.0000
520.0000 10 0 0.0000
561.0000 11 0 0.0000
606.0000 12 0 0.0000
664.0000 13 0 0.0000
707.0000 14 0 0.0000
772.0000 15 0 0.0000
815.0000 16 0 0.0000
862.0000 17 0 0.0000
925.0000 18 0 0.0000
976.0000 19 0 0.0000
1039.0000 20 0 0.0000
1093.0000 21 0 0.0000
1146.0000 22 0 0.0000
1206.0000 23 0 0.0000
1253.0000 24 0 0.0000
1312.0000 25 0 0.0000
1370.0000 26 0 0.0000
1421.0000 27 0 0.0000
1462.0000 28 0 0.0000
1523.0000 29 0 0.0000
1574.0000 30 0 0.0000
1632.0000 31 0 0.0000
1681.0000 32 0 0.0000
1740.0000 33 0 0.0000
1793.0000 34 0 0.0000
1843.0000 35 0 0.0000
1898.0000 36 0 0.0000
1947.0000 37 0 0.0000
2003.0000 38 0 0.0000
2043.0000 39 0 0.0000
2104.0000 40 0 0.0000
2146.0000 41 0 0.0000
2189.0000 42 0 0.0000
2235.0000 43 0 0.0000
2278.0000 44 0 0.0000
2332.0000 45 0 0.0000
2396.0000 46 0 0.0000
2450.0000 47 0 0.0000
2496.0000 48 0 0.0000
2553.0000 49 0 0.0000
2619.0000 50 0 0.0000
2661.0000 51 0 0.0000
2721.0000 52 0 0.0000
2784.0000 53 0 0.0000
2841.0000 54 0 0.0000
2899.0000 55 0 0.0000
2948.0000 56 0 0.0000
2997.0000 57 0 0.0000
3062.0000 58 0 0.0000
3116.0000 59 0 0.0000
3159.0000 60 0 0.0000
3206.0000 61 0 0.0000
3271.0000 62 0 0.0000
3328.0000 63 0 0.0000
3396.0000 64 0 0.0000
3462.0000 65 0 0.0000
3517.0000 66 0 0.0000
3563.0000 67 0 0.0000
3609.0000 68 0 0.0000
3662.0000 69 0 0.0000
3713.0000 70 0 0.0000
3753.0000 71 0 0.0000
3794.0000 72 0 0.0000
3841.0000 73 0 0.0000
3887.0000 74 0 0.0000
3951.0000 75 0 0.0000
4001.0000 76 0 0.0000
4069.0000 77 0 0.0000
4117.0000 78 0 0.0000
4172.0000 79 0 0.0000
4216.0000 80 0 0.0000
4273.0000 81 0 0.0000
4314.0000 82 0 0.0000
4372.0000 83 0 0.0000
4418.0000 84 0 0.0000
4465.0000 85 0 0.0000
4524.0000 86 0 0.0000
4581.0000 87 0 0.0000
4638.0000 88 0 0.0000
4695.0000 89 0 0.0000
4755.0000 90 0 0.0000
4823.0000 91 0 0.0000
4882.0000 92 0 0.0000
4940.0000 93 0 0.0000
4982.0000 94 0 0.0000
5033.0000 95 0 0.0000
5081.0000 96 0 0.0000
5144.0000 97 0 0.0000
5213.0000 98 0 0.0000
5281.0000 99 0 0.0000
5327.0000 100 0 0.0000
5372.0000 101 0 0.0000
5425.0000 102 0 0.0000
