# time  created  delivered  delivered/created
67.0000 1 0 0.0000
135.0000 2 0 0.0000
186.0000 3 0 0.0000
236.0000 4 0 0.0000
287.0000 5 0 0.0000
338.0000 6 0 0.0000
381.0000 7 0 0.0000
422.0000 8 0 0.0000
469.0000 9 0 0.0000
520.0000 10 0 0.0000
561.0000 11 0 0.0000
606.0000 12 0 0.0000
664.0000 13 0 0.0000
707.0000 14 0 0.0000
772.0000 15 0 0.0000
815.0000 16 0 0.0000
862.0000 17 0 0.0000
925.0000 18 0 0.0000
976.0000 19 0 0.0000
1039.0000 20 0 0.0000
1093.0000 21 0 0.0000
1146.0000 22 0 0.0000
1206.0000 23 0 0.0000
1253.0000 24 0 0.0000
1312.0000 25 0 0.0000
1370.0000 26 0 0.0000
1421.0000 27 0 0.0000
1462.0000 28 0 0.0000
1523.0000 29 0 0.0000
1574.0000 30 0 0.0000
1632.0000 31 0 0.0000
1681.0000 32 0 0.0000
1740.0000 33 0 0.0000
1793.0000 34 0 0.0000
1819.0000 34 1 0.0294
1819.1000 34 2 0.0588
1843.0000 35 2 0.0571
1898.0000 36 2 0.0556
1947.0000 37 2 0.0541
2003.0000 38 2 0.0526
2043.0000 39 2 0.0513
2104.0000 40 2 0.0500
2146.0000 41 2 0.0488
2189.0000 42 2 0.0476
2235.0000 43 2 0.0465
2278.0000 44 2 0.0455
2332.0000 45 2 0.0444
2396.0000 46 2 0.0435
2450.0000 47 2 0.0426
2496.0000 48 2 0.0417
2553.0000 49 2 0.0408
2619.0000 50 2 0.0400
2661.0000 51 2 0.0392
2721.0000 52 2 0.0385
2784.0000 53 2 0.0377
2841.0000 54 2 0.0370
2899.0000 55 2 0.0364
2948.0000 56 2 0.0357
2997.0000 57 2 0.0351
3062.0000 58 2 0.0345
3116.0000 59 2 0.0339
3159.0000 60 2 0.0333
3206.0000 61 2 0.0328
3271.0000 62 2 0.0323
3328.0000 63 2 0.0317
3396.0000 64 2 0.0313
3462.0000 65 2 0.0308
3517.0000 66 2 0.0303
3563.0000 67 2 0.0299
3609.0000 68 2 0.0294
3662.0000 69 2 0.0290
3713.0000 70 2 0.0286
3753.0000 71 2 0.0282
3794.0000 72 2 0.0278
3841.0000 73 2 0.0274
3887.0000 74 2 0.0270
3951.0000 75 2 0.0267
4001.0000 76 2 0.0263
4069.0000 77 2 0.0260
4117.0000 78 2 0.0256
4172.0000 79 2 0.0253
4216.0000 80 2 0.0250
4273.0000 81 2 0.0247
4314.0000 82 2 0.0244
4372.0000 83 2 0.0241
4418.0000 84 2 0.0238
4465.0000 85 2 0.0235
4524.0000 86 2 0.0233
4581.0000 87 2 0.0230
4638.0000 88 2 0.0227
4695.0000 89 2 0.0225
4755.0000 90 2 0.0222
4823.0000 91 2 0.0220
4882.0000 92 2 0.0217
4940.0000 93 2 0.0215
4982.0000 94 2 0.0213
5033.0000 95 2 0.0211
5081.0000 96 2 0.0208
5144.0000 97 2 0.0206
5213.0000 98 2 0.0204
5281.0000 99 2 0.0202
5327.0000 100 2 0.0200
