# time  created  delivered  delivered/created
67.0000 1 0 0.0000
135.0000 2 0 0.0000
186.0000 3 0 0.0000
236.0000 4 0 0.0000
287.0000 5 0 0.0000
338.0000 6 0 0.0000
381.0000 7 0 0.0000
422.0000 8 0 0.0000
469.0000 9 0 0.0000
520.0000 10 0 0.0000
561.0000 11 0 0.0000
606.0000 12 0 0.0000
664.0000 13 0 0.0000
707.0000 14 0 0.0000
772.0000 15 0 0.0000
815.0000 16 0 0.0000
862.0000 17 0 0.0000
925.0000 18 0 0.0000
976.0000 19 0 0.0000
1039.0000 20 0 0.0000
1093.0000 21 0 0.0000
1146.0000 22 0 0.0000
1206.0000 23 0 0.0000
1253.0000 24 0 0.0000
1312.0000 25 0 0.0000
1370.0000 26 0 0.0000
1421.0000 27 0 0.0000
1462.0000 28 0 0.0000
1523.0000 29 0 0.0000
1574.0000 30 0 0.0000
1632.0000 31 0 0.0000
1681.0000 32 0 0.0000
1740.0000 33 0 0.0000
1793.0000 34 0 0.0000
1819.0000 34 1 0.0294
1819.1000 34 2 0.0588
1819.2000 34 3 0.0882
1819.3000 34 4 0.1176
1819.4000 34 5 0.1471
1819.5000 34 6 0.1765
1819.6000 34 7 0.2059
1819.7000 34 8 0.2353
1819.8000 34 9 0.2647
1819.9000 34 10 0.2941
1820.0000 34 11 0.3235
1820.1000 34 12 0.3529
1820.2000 34 13 0.3824
1820.3000 34 14 0.4118
1843.0000 35 14 0.4000
1898.0000 36 14 0.3889
1947.0000 37 14 0.3784
2003.0000 38 14 0.3684
2043.0000 39 14 0.3590
2104.0000 40 14 0.3500
2146.0000 41 14 0.3415
2189.0000 42 14 0.3333
2235.0000 43 14 0.3256
2278.0000 44 14 0.3182
2332.0000 45 14 0.3111
2396.0000 46 14 0.3043
2450.0000 47 14 0.2979
2496.0000 48 14 0.2917
2553.0000 49 14 0.2857
2619.0000 50 14 0.2800
2661.0000 51 14 0.2745
2721.0000 52 14 0.2692
2784.0000 53 14 0.2642
2841.0000 54 14 0.2593
2899.0000 55 14 0.2545
2948.0000 56 14 0.2500
2997.0000 57 14 0.2456
3062.0000 58 14 0.2414
3116.0000 59 14 0.2373
3159.0000 60 14 0.2333
3206.0000 61 14 0.2295
3271.0000 62 14 0.2258
3328.0000 63 14 0.2222
3396.0000 64 14 0.2188
3462.0000 65 14 0.2154
3517.0000 66 14 0.2121
3563.0000 67 14 0.2090
3609.0000 68 14 0.2059
3662.0000 69 14 0.2029
3713.0000 70 14 0.2000
3753.0000 71 14 0.1972
3794.0000 72 14 0.1944
3841.0000 73 14 0.1918
3887.0000 74 14 0.1892
3951.0000 75 14 0.1867
4001.0000 76 14 0.1842
4069.0000 77 14 0.1818
4117.0000 78 14 0.1795
4172.0000 79 14 0.1772
4216.0000 80 14 0.1750
4273.0000 81 14 0.1728
4314.0000 82 14 0.1707
4372.0000 83 14 0.1687
4418.0000 84 14 0.1667
4465.0000 85 14 0.1647
4524.0000 86 14 0.1628
4581.0000 87 14 0.1609
4638.0000 88 14 0.1591
